"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.1839514336920045"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","5.3488526552931672"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","5.4307628415767848"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.6340500360838162"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.9462578197897944"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.9306835677479093"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","2.923860984177717"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.7201000485542686"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.5093275277450608"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.6376560599068997"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","6.1766514628938545"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","5.7055852264460896"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","5.3440175744795297"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.7482525972835674"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","3.8285108366171392"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","3.7574176279571416"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","3.0921141921183208"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","3.5950838746950984"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","3.3474670424133364"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","3.9016869063973503"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","5.2192248691124092"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.1655058311997335"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","3.5864613406358763"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.0454081771711534"
"2002","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.615"
"2003","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","10.915"
"2004","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.1975"
"2005","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.18"
"2006","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.95"
"2007","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.645"
"2008","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.0075"
"2009","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.65"
"2010","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.7175"
"2011","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","17.0575"
"2012","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","16.6875"
"2013","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.945"
"2014","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.1875"
"2015","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.9125"
"2016","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.1225"
"2017","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.745"
"2018","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.1075"
"2019","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.965"
"2020","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.275"
"2021","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.0825"
"2022","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.1875"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.21659569332593"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.868003311933679"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.140511133281887"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.82241933550748"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","10.631135987284198"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.365140750357778"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","10.972965400072763"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","10.83343664083198"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","10.494627739031772"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","10.622872817239678"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","10.809557004200984"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.33265739442815"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.025190416412787"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.694844966662391"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.011534523904961"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.948552610476398"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.07348728730687"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.572897344810604"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.889531511859282"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.68296460944388"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.66351563889585"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.034727185507524"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.117281896319186"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.598882861073479"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.82559428434937"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.182372144975039"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.56058267773455"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.780194299761453"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.507030732197775"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.43294900207318"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","16.07878665128456"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","16.125002793108109"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.959405919307143"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.817895071017968"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.91298820606486"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.338343637140763"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","16.799939571361897"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","16.222241250251557"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","16.291306827636362"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","17.887390770202359"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","17.829705016906818"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","17.573272771971734"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","17.425170084978699"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.985532135402625"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.761212823852839"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.646910438630826"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.866050450650949"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","16.450177893605023"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.806797280045584"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.630464560407658"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.49530206448426"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.303725997448602"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.324277964335824"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.259145049478176"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.45557455774358"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.472528869421481"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.457658762172391"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.703346194533172"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.930958075114829"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.697770821696379"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.157763425223951"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.520938626940225"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.105893763809231"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.270897658447872"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.081998357703876"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.640362792461065"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.378868050623534"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.42288878188161"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.988704426189647"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.339163669618198"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.516919245600366"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.480127294499722"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.519181142237251"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.161491478900903"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.755859539796377"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.589048153792348"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","15.586283404679346"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.207654988493337"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","11.748642921606061"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.976793524157307"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.389941851761103"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.758547381931368"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","12.932275277722471"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","13.000722851717688"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Male","Percentage (%)","Units","Normal value","14.064875438095356"
"2002","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.08"
"2003","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.7275"
"2004","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.705"
"2005","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.77"
"2006","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.33"
"2007","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.815"
"2008","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.875"
"2009","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.7925"
"2010","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.745"
"2011","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","15.035"
"2012","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","14.56"
"2013","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.6725"
"2014","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.0175"
"2015","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.07"
"2016","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.3875"
"2017","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.155"
"2018","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.5625"
"2019","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.44"
"2020","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.2175"
"2021","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.015"
"2022","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.285"
"2001 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.916703323236895"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.215249464027659"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.987374262624368"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.479095048619754"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.804934192107256"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.046519405531086"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.011086089830638"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","9.7936963729550044"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.233535781969982"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","9.8788971458172323"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","9.8294174684663229"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","9.5421337379547353"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.465699630474804"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.981259100647939"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.702283478323684"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.732309310238726"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.422240982296858"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.23289721888889"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.637340110928537"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.372462289563824"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.805350503267691"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.495298389362238"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.742897092510587"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.478347976565169"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.241711108673668"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.797729619081506"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.837391347995853"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.802777922276361"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","14.128800134141994"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.731954753096742"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.38806514546491"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.397906875767685"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","15.677557126456747"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.704719624423621"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.461040404018581"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.277408397060496"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","15.109575642992166"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","14.128002043310323"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.735375474355784"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.542778137671327"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","17.496133620891914"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","15.357448404849034"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","14.739654049416803"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","14.576643966328842"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","15.610760917890543"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.312914485177954"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.848125177909536"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.885788723986469"
