Year,Series,Sex,Region of England,Age group,Units,Unit multiplier,Observation status,Value
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,13.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,18.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,15.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,16.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,18.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,19.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,17.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,21.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,26.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,27
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,18-24,Percentage,Units,Normal value,28
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,20.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,24.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,25.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,21.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,22.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,24.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,23.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,27.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,27.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,28.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,25-34,Percentage,Units,Normal value,28.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,19.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,19.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,18.399999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,16.899999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,18.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,20.100000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,19.899999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,22.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,23.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,25
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,35-44,Percentage,Units,Normal value,24.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,20.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,19.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,18.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,19.899999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,17.899999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,18.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,18.899999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,18.399999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,19.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,20.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,45-54,Percentage,Units,Normal value,22
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,16
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,14.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,14.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,17.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,16.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,16.100000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,16
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,17.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,17.399999999999999
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,18.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,55-64,Percentage,Units,Normal value,18.600000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,10
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,10.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,9.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,7.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,9.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,8.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,9.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,10.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,10
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,65+,Percentage,Units,Normal value,11.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,16.600000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,17.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,16.399999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,16.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,16.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,17.600000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,17.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,19
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,20.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,20.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,West Midlands,All 18+,Percentage,Units,Normal value,21.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,15.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,16.100000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,18.600000000000001
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,20.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,23.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,21.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,24.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,30.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,25.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,33.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,18-24,Percentage,Units,Normal value,32.799999999999997
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,18.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,22
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,20.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,22.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,23.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,23.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,27.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,27.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,27.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,29.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,25-34,Percentage,Units,Normal value,30.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,16.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,20.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,17.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,19.399999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,16.899999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,18.600000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,22.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,24.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,25.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,23.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,35-44,Percentage,Units,Normal value,25.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,15.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,17.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,19
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,20.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,18
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,19
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,21.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,19.899999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,20.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,21.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,45-54,Percentage,Units,Normal value,21
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,13.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,14.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,14.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,14.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,13.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,13.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,15.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,17.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,18
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,17.399999999999999
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,55-64,Percentage,Units,Normal value,19
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,8.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,7.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,6.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,9.1999999999999993
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,7.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,9.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,9.6999999999999993
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,9.6999999999999993
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,10.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,65+,Percentage,Units,Normal value,11.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,13.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,15.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,15.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,16.899999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,16.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,16.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,19.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,20.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,20.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,21.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,East of England,All 18+,Percentage,Units,Normal value,22.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,11.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,12
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,17.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,16.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,18.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,20.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,19.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,21.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,21.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,22.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,18-24,Percentage,Units,Normal value,24.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,14.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,17.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,18.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,18.899999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,22.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,21.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,25.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,26.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,24.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,27.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,25-34,Percentage,Units,Normal value,27.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,14.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,17.100000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,17.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,19.899999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,20.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,21.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,21.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,22.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,22.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,24.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,35-44,Percentage,Units,Normal value,24.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,14.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,16.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,16
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,16.899999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,18.600000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,18.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,21.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,22.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,21.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,21.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,45-54,Percentage,Units,Normal value,22.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,12.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,14
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,14.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,14.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,15.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,16.100000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,17.600000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,16
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,19.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,21
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,55-64,Percentage,Units,Normal value,20.399999999999999
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,8.1999999999999993
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,9.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,10.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,8.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,7.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,8.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,9.8000000000000007
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,9.6999999999999993
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,10.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,13
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,65+,Percentage,Units,Normal value,13.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,13
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,15.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,16.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,16.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,18.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,18.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,20.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,20.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,20.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,22.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,London,All 18+,Percentage,Units,Normal value,23.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,14
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,16.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,17.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,20
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,19.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,24.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,24.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,27
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,27.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,27.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,18-24,Percentage,Units,Normal value,27.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,17.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,21.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,20.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,19.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,21.8
