Year,Series,Sex,Country,Age group,Units,Unit multiplier,Observation status,Value
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,25-34,Percentage,Units,Normal value,30.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,25-34,Percentage,Units,Normal value,30.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,25-34,Percentage,Units,Normal value,32.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,18.600000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,21.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,19.600000000000001
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,19.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,21.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,21.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,25.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,25.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,28.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,26.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,35-44,Percentage,Units,Normal value,29.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,19.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,20.100000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,18.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,19.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,17.600000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,19.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,20.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,23
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,22.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,24.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,45-54,Percentage,Units,Normal value,25.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,16.100000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,14.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,14
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,15.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,17
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,17.600000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,18.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,18.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,18.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,19.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,55-64,Percentage,Units,Normal value,19.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,6.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,8.3000000000000007
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,7.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,8.3000000000000007
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,8.8000000000000007
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,9.3000000000000007
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,10.199999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,10.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,10.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,65+,Percentage,Units,Normal value,11.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,14.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,16.600000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,16.399999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,17.100000000000001
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,17.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,18.100000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,19.399999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,21.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,21.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,22
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Wales,All 18+,Percentage,Units,Normal value,23.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,16.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,18.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,17.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,16.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,15.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,18.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,20.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,23.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,26.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,26.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,18-24,Percentage,Units,Normal value,29
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,16.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,18.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,20.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,20.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,21
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,21.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,24.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,27.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,31.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,29.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,25-34,Percentage,Units,Normal value,29.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,18.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,21.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,19.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,19.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,22.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,25.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,26.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,26.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,26.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,27
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,35-44,Percentage,Units,Normal value,28.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,21.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,20.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,18.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,20.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,21.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,19.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,22.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,23.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,24.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,24.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,45-54,Percentage,Units,Normal value,28
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,18.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,19.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,17.100000000000001
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,17.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,17.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,20.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,20.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,21.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,21.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,24
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,55-64,Percentage,Units,Normal value,23
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,10.199999999999999
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,10.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,10.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,10.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,10.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,11.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,12
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,13.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,14.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,13.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,65+,Percentage,Units,Normal value,15.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,16.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,17.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,17
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,17.399999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,17.899999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,19.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,20.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,22.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,23.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,23.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Scotland,All 18+,Percentage,Units,Normal value,25.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,15.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,11.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,17.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,14.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,21.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,21.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,21.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,21.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,18.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,21.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,18-24,Percentage,Units,Normal value,19.399999999999999
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,21.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,19
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,19.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,17.399999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,25.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,27.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,29.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,29
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,28.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,26.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,25-34,Percentage,Units,Normal value,21.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,19
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,14
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,15.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,20.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,21
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,24.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,22.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,21.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,22.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,23.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,35-44,Percentage,Units,Normal value,23.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,16.600000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,17.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,16.899999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,20.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,20.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,23.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,22.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,18.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,19.899999999999999
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,23.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,45-54,Percentage,Units,Normal value,22.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,16.899999999999999
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,18.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,18.399999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,17.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,15.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,20.100000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,20.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,17.899999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,21.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,20.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,55-64,Percentage,Units,Normal value,21.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,9.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,9.8000000000000007
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,10.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,11.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,9.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,10.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,11.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,10.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,11.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,11.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,65+,Percentage,Units,Normal value,12
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,16.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,15
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,16.100000000000001
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,17
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,18.600000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,21.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,21
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,19.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,20.399999999999999
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,21.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,Northern Ireland,All 18+,Percentage,Units,Normal value,20.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,15.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,16.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,18
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,19
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,20.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,21.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,22.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,25.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,25.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,27.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,18-24,Percentage,Units,Normal value,27.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,17.899999999999999
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,20.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,21.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,21.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,22.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,23.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,26.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,28
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,28.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,28.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,25-34,Percentage,Units,Normal value,29.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,35-44,Percentage,Units,Normal value,18.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,35-44,Percentage,Units,Normal value,19.100000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,35-44,Percentage,Units,Normal value,18.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,35-44,Percentage,Units,Normal value,19.100000000000001
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,United Kingdom,35-44,Percentage,Units,Normal value,19.899999999999999
