"Year","Series","Cause of death","Country","Sex","Observation status","Unit multiplier","Units","GeoCode","Value"
2010,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Female","Normal value","","Number","E92000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Female","Normal value","","Number","E92000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Female","Normal value","","Number","E92000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Female","Normal value","","Number","E92000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of flood","England","Female","Normal value","","Number","E92000001","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Female","Normal value","","Number","E92000001","31"
2011,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of flood","England","Female","Normal value","","Number","E92000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Female","Normal value","","Number","E92000001","2"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Female","Normal value","","Number","E92000001","1"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Female","Normal value","","Number","E92000001","37"
2012,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Female","Normal value","","Number","E92000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Female","Normal value","","Number","E92000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Female","Normal value","","Number","E92000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Female","Normal value","","Number","E92000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Female","Normal value","","Number","E92000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Female","Normal value","","Number","E92000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of flood","England","Female","Normal value","","Number","E92000001","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Female","Normal value","","Number","E92000001","1"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","4"
2001,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","1"
2001,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","6"
2002,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","1"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","3"
2004,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","1"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","3"
2007,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","2"
2008,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","1"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","4"
2009,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","7"
2010,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","4"
2011,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Male","Normal value","","Number","W92000004","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","4"
2001,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","1"
2001,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","4"
2002,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","1"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","2"
2003,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","4"
2004,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","1"
2005,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","3"
2006,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","4"
2007,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","1"
2008,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2008,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","6"
2009,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","Wales","Female","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","Wales","Female","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","Wales","Female","Normal value","","Number","W92000004","7"
2010,"Number of deaths from exposure to forces of nature","Exposure to sunlight","Wales","Female","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of lightning","Wales","Female","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of earthquake","Wales","Female","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","Wales","Female","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","Wales","Female","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","Wales","Female","Normal value","","Number","W92000004","0"
2010,"Number of deaths from exposure to forces of nature","Victim of flood","Wales","Female","Normal value","","Number","W92000004","0"
