"Year","Series","Sex","Age","Country","Region","Socio-economic classification","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","West Midlands","","","","Percentage","Units","Normal value","22.6"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","West Midlands","","","","Percentage","Units","Normal value","23.7"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","West Midlands","","","","Percentage","Units","Normal value","25.4"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","15.5"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","15.4"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","15.5"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","14.7"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","16"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","17.7"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","17.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","18.7"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","21"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","21.7"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","West Midlands","","","","Percentage","Units","Normal value","21.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","16.9"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","16.8"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","16.3"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","17.7"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","16.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","16.6"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","17.2"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","17.9"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","19"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","19.3"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","West Midlands","","","","Percentage","Units","Normal value","20.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","15"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","13.3"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","13.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","14.8"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","14.3"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","14.2"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","15.2"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","16.1"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","15.9"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","17.2"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","West Midlands","","","","Percentage","Units","Normal value","17.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","8.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","8.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","8.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","8.6"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","7.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","8.7"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","8.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","9"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","9.5"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","8.9"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","West Midlands","","","","Percentage","Units","Normal value","10"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","13.8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","14.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","14.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","14.5"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","14.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","15.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","15.7"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","16.7"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","17.8"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","18.3"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","West Midlands","","","","Percentage","Units","Normal value","19.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","14.8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","14.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","18.8"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","17"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","18.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","17.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","21.9"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","26.9"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","23.3"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","29.4"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","East","","","","Percentage","Units","Normal value","28.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","17"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","20.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","18.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","18.5"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","19.1"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","21"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","23.9"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","22.5"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","23.5"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","24.7"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","East","","","","Percentage","Units","Normal value","25.7"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","14.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","17.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","15.7"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","16.2"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","14.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","16"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","19.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","20.2"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","21.4"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","20.2"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","East","","","","Percentage","Units","Normal value","22.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","14.7"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","16.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","16.5"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","16.8"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","15.9"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","16.8"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","18.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","18.7"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","18"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","18"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","East","","","","Percentage","Units","Normal value","20"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","12.6"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","12.8"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","12.5"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","13.6"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","14.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","13"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","14.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","16.5"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","16.8"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","16.6"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","East","","","","Percentage","Units","Normal value","16.5"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","8.3"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","7.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","6.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","7"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","8.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","7"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","7.9"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","9"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","8.3"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","9.6"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","East","","","","Percentage","Units","Normal value","10"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","12.9"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","14.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","13.7"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","14"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","14.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","14.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","16.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","17.7"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","17.5"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","18.3"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","East","","","","Percentage","Units","Normal value","19.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","9.4"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","10.9"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","12.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","13.7"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","16.1"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","16.2"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","17.1"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","19.5"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","18.3"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","19.4"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","London","","","","Percentage","Units","Normal value","20.8"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","12.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","14.2"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","15.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","15.8"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","17.3"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","17.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","19.8"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","21.3"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","19.8"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","21.3"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","London","","","","Percentage","Units","Normal value","22.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","12.9"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","13.9"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","13.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","15.9"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","15.7"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","17"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","16.9"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","17.6"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","17.7"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","19.7"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","London","","","","Percentage","Units","Normal value","21.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","12.8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","14.2"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","14.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","15.1"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","16"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","15.8"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","17.4"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","18.8"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","18.4"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","17.9"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","London","","","","Percentage","Units","Normal value","19.1"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","12.3"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","11.9"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","13"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","13.4"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","13.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","14.5"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","14.8"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","14.4"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","16.8"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","17.5"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","London","","","","Percentage","Units","Normal value","17.4"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","7.9"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","8.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","7.8"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","7.6"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","6.8"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","7.7"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","8.4"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","8.5"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","9"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","10.5"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","65 and over","England","London","","","","Percentage","Units","Normal value","10.8"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","11.5"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","12.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","12.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","13.9"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","14.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","15.2"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","16.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","17.2"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","17.1"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","18.2"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","London","","","","Percentage","Units","Normal value","19.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","12.5"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","15.2"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","16.7"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","17.7"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","17.7"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","22.1"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","23.2"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","25.5"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","24.7"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","24.4"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","South East","","","","Percentage","Units","Normal value","26.8"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","16.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","17.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","18.5"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","18.3"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","20"
