"Year","Sex","Age group","Country","Region of England","Socio-economic group","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2020","","25-34","","South West","","","","Percentage","Units","Normal value","17.1"
"2019","","25-34","","South West","","","","Percentage","Units","Normal value","21.8"
"2018","","25-34","","South West","","","","Percentage","Units","Normal value","21.9"
"2017","","25-34","","South West","","","","Percentage","Units","Normal value","20.7"
"2016","","25-34","","South West","","","","Percentage","Units","Normal value","20.3"
"2015","","25-34","","South West","","","","Percentage","Units","Normal value","22.2"
"2014","","25-34","","South West","","","","Percentage","Units","Normal value","26"
"2013","","25-34","","South West","","","","Percentage","Units","Normal value","26.1"
"2012","","25-34","","South West","","","","Percentage","Units","Normal value","25.6"
"2011","","25-34","","South West","","","","Percentage","Units","Normal value","27.2"
"2021","","35-44","","South West","","","","Percentage","Units","Normal value","15.2"
"2020","","35-44","","South West","","","","Percentage","Units","Normal value","17.2"
"2019","","35-44","","South West","","","","Percentage","Units","Normal value","16.2"
"2018","","35-44","","South West","","","","Percentage","Units","Normal value","17.4"
"2017","","35-44","","South West","","","","Percentage","Units","Normal value","16.6"
"2016","","35-44","","South West","","","","Percentage","Units","Normal value","16"
"2015","","35-44","","South West","","","","Percentage","Units","Normal value","17.9"
"2014","","35-44","","South West","","","","Percentage","Units","Normal value","18.2"
"2013","","35-44","","South West","","","","Percentage","Units","Normal value","21.6"
"2012","","35-44","","South West","","","","Percentage","Units","Normal value","23.1"
"2011","","35-44","","South West","","","","Percentage","Units","Normal value","23.5"
"2021","","45-54","","South West","","","","Percentage","Units","Normal value","14.9"
"2020","","45-54","","South West","","","","Percentage","Units","Normal value","15.1"
"2019","","45-54","","South West","","","","Percentage","Units","Normal value","16.2"
"2018","","45-54","","South West","","","","Percentage","Units","Normal value","15.5"
"2017","","45-54","","South West","","","","Percentage","Units","Normal value","15.6"
"2016","","45-54","","South West","","","","Percentage","Units","Normal value","15.1"
"2015","","45-54","","South West","","","","Percentage","Units","Normal value","18.2"
"2014","","45-54","","South West","","","","Percentage","Units","Normal value","18.6"
"2013","","45-54","","South West","","","","Percentage","Units","Normal value","21.2"
"2012","","45-54","","South West","","","","Percentage","Units","Normal value","22"
"2011","","45-54","","South West","","","","Percentage","Units","Normal value","20.6"
"2021","","55-64","","South West","","","","Percentage","Units","Normal value","13.3"
"2020","","55-64","","South West","","","","Percentage","Units","Normal value","13.2"
"2019","","55-64","","South West","","","","Percentage","Units","Normal value","12.7"
"2018","","55-64","","South West","","","","Percentage","Units","Normal value","12"
"2017","","55-64","","South West","","","","Percentage","Units","Normal value","12.7"
"2016","","55-64","","South West","","","","Percentage","Units","Normal value","13.3"
"2015","","55-64","","South West","","","","Percentage","Units","Normal value","14.2"
"2014","","55-64","","South West","","","","Percentage","Units","Normal value","14.3"
"2013","","55-64","","South West","","","","Percentage","Units","Normal value","14.7"
"2012","","55-64","","South West","","","","Percentage","Units","Normal value","15.8"
"2011","","55-64","","South West","","","","Percentage","Units","Normal value","15.9"
"2021","","65+","","South West","","","","Percentage","Units","Normal value","6.2"
"2020","","65+","","South West","","","","Percentage","Units","Normal value","5.8"
"2019","","65+","","South West","","","","Percentage","Units","Normal value","6.2"
"2018","","65+","","South West","","","","Percentage","Units","Normal value","6.2"
"2017","","65+","","South West","","","","Percentage","Units","Normal value","5.6"
"2016","","65+","","South West","","","","Percentage","Units","Normal value","5.9"
"2015","","65+","","South West","","","","Percentage","Units","Normal value","6.6"
"2014","","65+","","South West","","","","Percentage","Units","Normal value","6.7"
"2013","","65+","","South West","","","","Percentage","Units","Normal value","8"
"2012","","65+","","South West","","","","Percentage","Units","Normal value","7.9"
"2011","","65+","","South West","","","","Percentage","Units","Normal value","8.5"
"2021","","All 18+","","South West","","","","Percentage","Units","Normal value","12.6"
"2020","","All 18+","","South West","","","","Percentage","Units","Normal value","13"
"2019","","All 18+","","South West","","","","Percentage","Units","Normal value","14"
"2018","","All 18+","","South West","","","","Percentage","Units","Normal value","13.9"
"2017","","All 18+","","South West","","","","Percentage","Units","Normal value","13.7"
"2016","","All 18+","","South West","","","","Percentage","Units","Normal value","13.9"
"2015","","All 18+","","South West","","","","Percentage","Units","Normal value","15.5"
"2014","","All 18+","","South West","","","","Percentage","Units","Normal value","16.9"
"2013","","All 18+","","South West","","","","Percentage","Units","Normal value","17.9"
"2012","","All 18+","","South West","","","","Percentage","Units","Normal value","18.7"
"2011","","All 18+","","South West","","","","Percentage","Units","Normal value","18.8"
"2021","Male","18-24","","North East","","","","Percentage","Units","Normal value","16.4"
"2020","Male","18-24","","North East","","","","Percentage","Units","Normal value","18.7"
"2019","Male","18-24","","North East","","","","Percentage","Units","Normal value","17"
"2018","Male","18-24","","North East","","","","Percentage","Units","Normal value","19.7"
"2017","Male","18-24","","North East","","","","Percentage","Units","Normal value","19.1"
"2016","Male","18-24","","North East","","","","Percentage","Units","Normal value","20.1"
"2015","Male","18-24","","North East","","","","Percentage","Units","Normal value","25.5"
"2014","Male","18-24","","North East","","","","Percentage","Units","Normal value","23.4"
"2013","Male","18-24","","North East","","","","Percentage","Units","Normal value","28.2"
"2012","Male","18-24","","North East","","","","Percentage","Units","Normal value","31.6"
"2011","Male","18-24","","North East","","","","Percentage","Units","Normal value","28.5"
"2021","Male","25-34","","North East","","","","Percentage","Units","Normal value","19.9"
"2020","Male","25-34","","North East","","","","Percentage","Units","Normal value","22"
"2019","Male","25-34","","North East","","","","Percentage","Units","Normal value","21.3"
"2018","Male","25-34","","North East","","","","Percentage","Units","Normal value","21.8"
"2017","Male","25-34","","North East","","","","Percentage","Units","Normal value","21.1"
"2016","Male","25-34","","North East","","","","Percentage","Units","Normal value","23.5"
"2015","Male","25-34","","North East","","","","Percentage","Units","Normal value","26.2"
"2014","Male","25-34","","North East","","","","Percentage","Units","Normal value","28.7"
"2013","Male","25-34","","North East","","","","Percentage","Units","Normal value","32.1"
"2012","Male","25-34","","North East","","","","Percentage","Units","Normal value","29.2"
"2011","Male","25-34","","North East","","","","Percentage","Units","Normal value","29.9"
"2021","Male","35-44","","North East","","","","Percentage","Units","Normal value","17.8"
"2020","Male","35-44","","North East","","","","Percentage","Units","Normal value","15.6"
"2019","Male","35-44","","North East","","","","Percentage","Units","Normal value","18"
"2018","Male","35-44","","North East","","","","Percentage","Units","Normal value","19.2"
"2017","Male","35-44","","North East","","","","Percentage","Units","Normal value","21.2"
"2016","Male","35-44","","North East","","","","Percentage","Units","Normal value","22.5"
"2015","Male","35-44","","North East","","","","Percentage","Units","Normal value","24.2"
"2014","Male","35-44","","North East","","","","Percentage","Units","Normal value","24.4"
"2013","Male","35-44","","North East","","","","Percentage","Units","Normal value","26.6"
"2012","Male","35-44","","North East","","","","Percentage","Units","Normal value","26.7"
"2011","Male","35-44","","North East","","","","Percentage","Units","Normal value","25.4"
"2021","Male","45-54","","North East","","","","Percentage","Units","Normal value","18.9"
"2020","Male","45-54","","North East","","","","Percentage","Units","Normal value","21.4"
"2019","Male","45-54","","North East","","","","Percentage","Units","Normal value","19.9"
"2018","Male","45-54","","North East","","","","Percentage","Units","Normal value","18.3"
"2017","Male","45-54","","North East","","","","Percentage","Units","Normal value","19.6"
"2016","Male","45-54","","North East","","","","Percentage","Units","Normal value","19.8"
"2015","Male","45-54","","North East","","","","Percentage","Units","Normal value","23.2"
"2014","Male","45-54","","North East","","","","Percentage","Units","Normal value","21.3"
"2013","Male","45-54","","North East","","","","Percentage","Units","Normal value","21.4"
"2012","Male","45-54","","North East","","","","Percentage","Units","Normal value","23"
"2011","Male","45-54","","North East","","","","Percentage","Units","Normal value","21.5"
"2021","Male","55-64","","North East","","","","Percentage","Units","Normal value","15.9"
"2020","Male","55-64","","North East","","","","Percentage","Units","Normal value","17.3"
"2019","Male","55-64","","North East","","","","Percentage","Units","Normal value","14.3"
"2018","Male","55-64","","North East","","","","Percentage","Units","Normal value","15.6"
"2017","Male","55-64","","North East","","","","Percentage","Units","Normal value","16"
"2016","Male","55-64","","North East","","","","Percentage","Units","Normal value","16.9"
"2015","Male","55-64","","North East","","","","Percentage","Units","Normal value","17"
"2014","Male","55-64","","North East","","","","Percentage","Units","Normal value","19.5"
"2013","Male","55-64","","North East","","","","Percentage","Units","Normal value","19.9"
"2012","Male","55-64","","North East","","","","Percentage","Units","Normal value","21.4"
"2011","Male","55-64","","North East","","","","Percentage","Units","Normal value","20.3"
"2021","Male","65+","","North East","","","","Percentage","Units","Normal value","7.8"
"2020","Male","65+","","North East","","","","Percentage","Units","Normal value","8.7"
"2019","Male","65+","","North East","","","","Percentage","Units","Normal value","8.3"
"2018","Male","65+","","North East","","","","Percentage","Units","Normal value","9.5"
"2017","Male","65+","","North East","","","","Percentage","Units","Normal value","8.7"
"2016","Male","65+","","North East","","","","Percentage","Units","Normal value","8.5"
"2015","Male","65+","","North East","","","","Percentage","Units","Normal value","9.8"
"2014","Male","65+","","North East","","","","Percentage","Units","Normal value","11.3"
"2013","Male","65+","","North East","","","","Percentage","Units","Normal value","11.5"
"2012","Male","65+","","North East","","","","Percentage","Units","Normal value","10.2"
"2011","Male","65+","","North East","","","","Percentage","Units","Normal value","11"
"2021","Male","All 18+","","North East","","","","Percentage","Units","Normal value","15.5"
"2020","Male","All 18+","","North East","","","","Percentage","Units","Normal value","16.7"
"2019","Male","All 18+","","North East","","","","Percentage","Units","Normal value","15.9"
"2018","Male","All 18+","","North East","","","","Percentage","Units","Normal value","16.7"
"2017","Male","All 18+","","North East","","","","Percentage","Units","Normal value","17"
"2016","Male","All 18+","","North East","","","","Percentage","Units","Normal value","17.8"
"2015","Male","All 18+","","North East","","","","Percentage","Units","Normal value","20.2"
"2014","Male","All 18+","","North East","","","","Percentage","Units","Normal value","20.8"
"2013","Male","All 18+","","North East","","","","Percentage","Units","Normal value","22.5"
"2012","Male","All 18+","","North East","","","","Percentage","Units","Normal value","22.8"
"2011","Male","All 18+","","North East","","","","Percentage","Units","Normal value","22.1"
"2021","Male","18-24","","North West","","","","Percentage","Units","Normal value","17.6"
"2020","Male","18-24","","North West","","","","Percentage","Units","Normal value","17.1"
"2019","Male","18-24","","North West","","","","Percentage","Units","Normal value","16.9"
"2018","Male","18-24","","North West","","","","Percentage","Units","Normal value","20.1"
"2017","Male","18-24","","North West","","","","Percentage","Units","Normal value","22.6"
"2016","Male","18-24","","North West","","","","Percentage","Units","Normal value","19.1"
"2015","Male","18-24","","North West","","","","Percentage","Units","Normal value","22.5"
"2014","Male","18-24","","North West","","","","Percentage","Units","Normal value","25.8"
"2013","Male","18-24","","North West","","","","Percentage","Units","Normal value","26.2"
"2012","Male","18-24","","North West","","","","Percentage","Units","Normal value","26.6"
"2011","Male","18-24","","North West","","","","Percentage","Units","Normal value","25.7"
"2021","Male","25-34","","North West","","","","Percentage","Units","Normal value","16.9"
"2020","Male","25-34","","North West","","","","Percentage","Units","Normal value","18.4"
"2019","Male","25-34","","North West","","","","Percentage","Units","Normal value","18.5"
"2018","Male","25-34","","North West","","","","Percentage","Units","Normal value","21.5"
"2017","Male","25-34","","North West","","","","Percentage","Units","Normal value","20.8"
"2016","Male","25-34","","North West","","","","Percentage","Units","Normal value","21.7"
"2015","Male","25-34","","North West","","","","Percentage","Units","Normal value","27.2"
"2014","Male","25-34","","North West","","","","Percentage","Units","Normal value","28.6"
"2013","Male","25-34","","North West","","","","Percentage","Units","Normal value","27.5"
"2012","Male","25-34","","North West","","","","Percentage","Units","Normal value","29.8"
"2011","Male","25-34","","North West","","","","Percentage","Units","Normal value","31"
"2021","Male","35-44","","North West","","","","Percentage","Units","Normal value","21.1"
"2020","Male","35-44","","North West","","","","Percentage","Units","Normal value","20.7"
"2019","Male","35-44","","North West","","","","Percentage","Units","Normal value","18"
"2018","Male","35-44","","North West","","","","Percentage","Units","Normal value","18.4"
"2017","Male","35-44","","North West","","","","Percentage","Units","Normal value","20.1"
"2016","Male","35-44","","North West","","","","Percentage","Units","Normal value","22.1"
"2015","Male","35-44","","North West","","","","Percentage","Units","Normal value","24.2"
"2014","Male","35-44","","North West","","","","Percentage","Units","Normal value","26.2"
"2013","Male","35-44","","North West","","","","Percentage","Units","Normal value","24.5"
"2012","Male","35-44","","North West","","","","Percentage","Units","Normal value","26.9"
"2011","Male","35-44","","North West","","","","Percentage","Units","Normal value","28.9"
"2021","Male","45-54","","North West","","","","Percentage","Units","Normal value","19.2"
"2020","Male","45-54","","North West","","","","Percentage","Units","Normal value","19.2"
"2019","Male","45-54","","North West","","","","Percentage","Units","Normal value","16.5"
"2018","Male","45-54","","North West","","","","Percentage","Units","Normal value","17.7"
"2017","Male","45-54","","North West","","","","Percentage","Units","Normal value","19.2"
"2016","Male","45-54","","North West","","","","Percentage","Units","Normal value","20.3"
"2015","Male","45-54","","North West","","","","Percentage","Units","Normal value","22.6"
"2014","Male","45-54","","North West","","","","Percentage","Units","Normal value","22.8"
"2013","Male","45-54","","North West","","","","Percentage","Units","Normal value","22.5"
"2012","Male","45-54","","North West","","","","Percentage","Units","Normal value","23.3"
"2011","Male","45-54","","North West","","","","Percentage","Units","Normal value","24.3"
"2021","Male","55-64","","North West","","","","Percentage","Units","Normal value","17.2"
"2020","Male","55-64","","North West","","","","Percentage","Units","Normal value","16.9"
"2019","Male","55-64","","North West","","","","Percentage","Units","Normal value","16.8"
"2018","Male","55-64","","North West","","","","Percentage","Units","Normal value","15.6"
"2017","Male","55-64","","North West","","","","Percentage","Units","Normal value","16.7"
"2016","Male","55-64","","North West","","","","Percentage","Units","Normal value","17.9"
"2015","Male","55-64","","North West","","","","Percentage","Units","Normal value","18.7"
"2014","Male","55-64","","North West","","","","Percentage","Units","Normal value","19.2"
"2013","Male","55-64","","North West","","","","Percentage","Units","Normal value","19.8"
"2012","Male","55-64","","North West","","","","Percentage","Units","Normal value","21"
"2011","Male","55-64","","North West","","","","Percentage","Units","Normal value","20.9"
"2021","Male","65+","","North West","","","","Percentage","Units","Normal value","9.6"
"2020","Male","65+","","North West","","","","Percentage","Units","Normal value","9.2"
"2019","Male","65+","","North West","","","","Percentage","Units","Normal value","10.2"
"2018","Male","65+","","North West","","","","Percentage","Units","Normal value","8.4"
"2017","Male","65+","","North West","","","","Percentage","Units","Normal value","10.2"
"2016","Male","65+","","North West","","","","Percentage","Units","Normal value","9.4"
"2015","Male","65+","","North West","","","","Percentage","Units","Normal value","10.8"
"2014","Male","65+","","North West","","","","Percentage","Units","Normal value","11.5"
"2013","Male","65+","","North West","","","","Percentage","Units","Normal value","11.8"
"2012","Male","65+","","North West","","","","Percentage","Units","Normal value","11.5"
"2011","Male","65+","","North West","","","","Percentage","Units","Normal value","12.1"
"2021","Male","All 18+","","North West","","","","Percentage","Units","Normal value","16.4"
"2020","Male","All 18+","","North West","","","","Percentage","Units","Normal value","16.4"
"2019","Male","All 18+","","North West","","","","Percentage","Units","Normal value","15.7"
"2018","Male","All 18+","","North West","","","","Percentage","Units","Normal value","16.3"
"2017","Male","All 18+","","North West","","","","Percentage","Units","Normal value","17.6"
"2016","Male","All 18+","","North West","","","","Percentage","Units","Normal value","17.9"
"2015","Male","All 18+","","North West","","","","Percentage","Units","Normal value","20.5"
"2014","Male","All 18+","","North West","","","","Percentage","Units","Normal value","21.8"
"2013","Male","All 18+","","North West","","","","Percentage","Units","Normal value","21.5"
"2012","Male","All 18+","","North West","","","","Percentage","Units","Normal value","22.6"
"2011","Male","All 18+","","North West","","","","Percentage","Units","Normal value","23.5"
"2021","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","17.7"
"2020","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.4"
"2019","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","17.7"
"2018","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","20.9"
"2017","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","25.8"
"2016","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","26.2"
"2015","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","23.5"
"2014","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","27.3"
"2013","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","27.7"
"2012","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","29.7"
"2011","Male","18-24","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","29.8"
"2021","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","22.1"
"2020","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","24.3"
"2019","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","26.2"
"2018","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","24.7"
"2017","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","22.7"
"2016","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","25.8"
"2015","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","28.8"
"2014","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","29.3"
"2013","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","32.6"
"2012","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","31.7"
"2011","Male","25-34","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","34.8"
"2021","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","21.2"
"2020","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","20"
"2019","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","21.7"
"2018","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","22.5"
"2017","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","24"
"2016","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","22.7"
"2015","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","22.9"
"2014","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","24.4"
"2013","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","27.3"
"2012","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","30"
"2011","Male","35-44","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","28.2"
"2021","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.2"
"2020","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.7"
"2019","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","19.8"
"2018","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","21.8"
"2017","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","19.3"
"2016","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.4"
"2015","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","21.3"
"2014","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","23.3"
"2013","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","22.4"
"2012","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","24.3"
"2011","Male","45-54","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","23.6"
"2021","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","13.7"
"2020","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","14.1"
"2019","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","13"
"2018","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","15.2"
"2017","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","15.8"
"2016","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.9"
"2015","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.1"
"2014","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.5"
"2013","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","17.5"
"2012","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","21.9"
"2011","Male","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","19.2"
"2021","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.9"
"2020","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.6"
"2019","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","8.7"
"2018","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","8.7"
"2017","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.5"
"2016","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.7"
"2015","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.8"
"2014","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","10.5"
"2013","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","10.5"
"2012","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","11.9"
"2011","Male","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","10.4"
"2021","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.3"
"2020","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.9"
"2019","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","17.3"
"2018","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.3"
"2017","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.7"
"2016","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","19.1"
"2015","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","20.1"
"2014","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","21.5"
"2013","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","22.4"
"2012","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","24.3"
"2011","Male","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","23.8"
"2021","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","17.9"
"2020","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","16.7"
"2019","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","20"
"2018","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","20.3"
"2017","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","20.1"
"2016","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","21.9"
"2015","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","23.9"
"2014","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","26.5"
"2013","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","26.7"
"2012","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","25.7"
"2011","Male","18-24","","East Midlands","","","","Percentage","Units","Normal value","28.6"
"2021","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","19.7"
"2020","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","20.9"
"2019","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","23.1"
"2018","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","23.8"
"2017","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","23.4"
"2016","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","22.8"
"2015","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","28.2"
"2014","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","30.4"
"2013","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","30.1"
"2012","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","29.6"
"2011","Male","25-34","","East Midlands","","","","Percentage","Units","Normal value","29.8"
"2021","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","22.7"
"2020","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","19.8"
"2019","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","21"
"2018","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","21"
"2017","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","18.7"
"2016","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","22.9"
"2015","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","23.8"
"2014","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","22.2"
"2013","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","24.1"
"2012","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","27.6"
"2011","Male","35-44","","East Midlands","","","","Percentage","Units","Normal value","24.7"
"2021","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","19"
"2020","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","17"
"2019","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","16.6"
"2018","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","19.2"
"2017","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","17.7"
"2016","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","17.5"
"2015","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","19.5"
"2014","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","21.7"
"2013","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","21.4"
"2012","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","23.9"
"2011","Male","45-54","","East Midlands","","","","Percentage","Units","Normal value","23.7"
"2021","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","15.9"
"2020","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","14.7"
"2019","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","14.8"
"2018","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","16.4"
"2017","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","17.5"
"2016","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","15.6"
"2015","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","21"
"2014","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","18.4"
"2013","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","19.1"
"2012","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","15.9"
"2011","Male","55-64","","East Midlands","","","","Percentage","Units","Normal value","19.4"
"2021","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","7"
"2020","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","9.1"
"2019","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","9"
"2018","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","10.1"
"2017","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","10"
"2016","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","9.6"
"2015","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","10.1"
"2014","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","10.2"
"2013","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","11.5"
"2012","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","11.6"
"2011","Male","65+","","East Midlands","","","","Percentage","Units","Normal value","10.1"
"2021","Male","All 18+","","East Midlands","","","","Percentage","Units","Normal value","16.1"
"2020","Male","All 18+","","East Midlands","","","","Percentage","Units","Normal value","15.6"
"2019","Male","All 18+","","East Midlands","","","","Percentage","Units","Normal value","16.5"
"2018","Male","All 18+","","East Midlands","","","","Percentage","Units","Normal value","17.7"
"2017","Male","All 18+","","East Midlands","","","","Percentage","Units","Normal value","17.2"
