Year,IncomeGroup,TypeofAidCode,TypeofAidText,SectorPurposeCode(CRScode),BroadSectorCode(DAC5code),SIDsector,AmountsExtended(£thousands),NetODA(£thousands)
2016,UMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,93.0105,93.0105
2016,UMICs,C01,Project-type interventions,43030,430,Multisector,92.9798,92.9798
2016,LDCs,C01,Project-type interventions,43030,430,Multisector,92.9359,92.9359
2016,UMICs,C01,Project-type interventions,15110,151,Government and Civil Society,92.9335,92.9335
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,92.8482,92.8482
2016,UMICs,C01,Project-type interventions,11110,111,Education,92.8051,92.8051
2016,LDCs,C01,Project-type interventions,15220,152,Government and Civil Society,92.772,92.772
2016,UMICs,C01,Project-type interventions,12220,122,Health,92.4405,92.4405
2016,Other LICs,C01,Project-type interventions,15111,151,Government and Civil Society,92.4105,92.4105
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,92.2735,92.2735
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,92.102,92.102
2016,LDCs,C01,Project-type interventions,15151,151,Government and Civil Society,92.068,92.068
2016,LDCs,C01,Project-type interventions,15111,151,Government and Civil Society,92.016,92.016
2016,Other LICs,C01,Project-type interventions,41010,410,Multisector,91.943,91.943
2016,0,C01,Project-type interventions,12240,122,Health,91.917,91.917
2016,LDCs,C01,Project-type interventions,14030,140,WASH,91.825,91.825
2016,UMICs,C01,Project-type interventions,31182,311,Production Services,91.7781,91.7781
2016,UMICs,C01,Project-type interventions,11110,111,Education,91.7454,91.7454
2016,UMICs,C01,Project-type interventions,41030,410,Multisector,91.6833,91.6833
2016,LDCs,C01,Project-type interventions,11182,111,Education,91.593,91.593
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,91.5868,91.5868
2016,UMICs,C01,Project-type interventions,11110,111,Education,91.5546,91.5546
2016,UMICs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,91.4395,91.4395
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,91.399,91.399
2016,0,C01,Project-type interventions,41010,410,Multisector,91.2917,91.2917
2016,UMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,91.154,91.154
2016,0,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,91.1182,91.1182
2016,LMICs,C01,Project-type interventions,43030,430,Multisector,91.108,91.108
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,91.0723,91.0723
2016,0,C01,Project-type interventions,41010,410,Multisector,91.002,91.002
2016,LMICs,C01,Project-type interventions,41010,410,Multisector,90.8615,90.8615
2016,LDCs,C01,Project-type interventions,72050,720,Humantarian,90.7436,90.7436
2016,UMICs,C01,Project-type interventions,32167,321,Production Services,90.6946,90.6946
2016,UMICs,C01,Project-type interventions,12110,121,Health,90.6044,90.6044
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,90.5588,90.5588
2016,UMICs,D02,Other technical assistance,43081,430,Multisector,90.55,90.55
2016,0,C01,Project-type interventions,32210,322,Production Services,90.5178,90.5178
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,90.4645,90.4645
2016,LMICs,C01,Project-type interventions,24040,240,Economic Infrastructure & Services,90.2921,90.2921
2016,UMICs,C01,Project-type interventions,32210,322,Production Services,90.1374,90.1374
2016,UMICs,D02,Other technical assistance,43081,430,Multisector,90.084,90.084
2016,UMICs,C01,Project-type interventions,23630,236,Economic Infrastructure & Services,90.0517,90.0517
2016,0,D02,Other technical assistance,15170,151,Government and Civil Society,90.0354,90.0354
2016,0,D01,Donor country personnel,15230,152,Government and Civil Society,90,90
2016,UMICs,C01,Project-type interventions,43082,430,Multisector,90,90
2016,LMICs,E01,Scholarships/training in donor country,43081,430,Multisector,90,90
2016,LDCs,C01,Project-type interventions,15130,151,Government and Civil Society,90,90
2016,0,C01,Project-type interventions,15113,151,Government and Civil Society,90,90
2016,0,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,90,90
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12110,121,Health,90,90
2016,LMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,89.94,89.94
2016,LMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,89.9033,89.9033
2016,LDCs,C01,Project-type interventions,15111,151,Government and Civil Society,89.8938,89.8938
2016,LMICs,C01,Project-type interventions,15110,151,Government and Civil Society,89.75,89.75
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,89.5971,89.5971
2016,LDCs,C01,Project-type interventions,14030,140,WASH,89.4312,89.4312
2016,UMICs,C01,Project-type interventions,11110,111,Education,89.3976,89.3976
2016,UMICs,C01,Project-type interventions,23210,232,Economic Infrastructure & Services,89.3825,89.3825
2016,UMICs,D02,Other technical assistance,43082,430,Multisector,89.3604,89.3604
2016,UMICs,C01,Project-type interventions,11110,111,Education,89.352,89.352
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,89.3243,89.3243
2016,LMICs,C01,Project-type interventions,15110,151,Government and Civil Society,89.283,89.283
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,89.2703,89.2703
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",15113,151,Government and Civil Society,89.215,89.215
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,89.2,89.2
2016,UMICs,C01,Project-type interventions,41030,410,Multisector,89.1535,89.1535
2016,UMICs,C01,Project-type interventions,52010,520,Commodity and General Programme Assistance,89.086,89.086
2016,0,E01,Scholarships/training in donor country,11430,114,Education,89,89
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,88.9915,88.9915
2016,LDCs,C01,Project-type interventions,31140,311,Production Services,88.946,88.946
2016,LDCs,D01,Donor country personnel,15220,152,Government and Civil Society,88.79,88.79
2016,UMICs,C01,Project-type interventions,32210,322,Production Services,88.7714,88.7714
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",15111,151,Government and Civil Society,88.7616,88.7616
2016,LMICs,C01,Project-type interventions,41010,410,Multisector,88.752,88.752
2016,LDCs,C01,Project-type interventions,41010,410,Multisector,88.631,88.631
2016,UMICs,C01,Project-type interventions,15130,151,Government and Civil Society,88.5575,88.5575
2016,UMICs,C01,Project-type interventions,41030,410,Multisector,88.5144,88.5144
2016,UMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,88.2995,88.2995
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,88.1558,88.1558
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,88.1212,88.1212
2016,LDCs,D02,Other technical assistance,16062,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,88.104,88.104
2016,UMICs,C01,Project-type interventions,32310,323,Production Services,88.057,88.057
2016,LDCs,C01,Project-type interventions,14021,140,WASH,87.78,87.78
2016,LMICs,C01,Project-type interventions,33110,331,Production Services,87.69,87.69
2016,UMICs,D02,Other technical assistance,43081,430,Multisector,87.67,87.67
2016,0,C01,Project-type interventions,33130,331,Production Services,87.651,87.651
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,87.5977,87.5977
2016,UMICs,C01,Project-type interventions,12110,121,Health,87.5762,87.5762
2016,0,C01,Project-type interventions,43010,430,Multisector,87.441,87.441
2016,LMICs,D02,Other technical assistance,43081,430,Multisector,87.152,87.152
2016,LMICs,C01,Project-type interventions,15113,151,Government and Civil Society,87.1344,87.1344
2016,0,C01,Project-type interventions,15110,151,Government and Civil Society,87.1269,87.1269
2016,UMICs,C01,Project-type interventions,23210,232,Economic Infrastructure & Services,87.1036,87.1036
2016,0,D02,Other technical assistance,12263,122,Health,87.0577,87.0577
2016,0,D02,Other technical assistance,23110,231,Economic Infrastructure & Services,86.9791,86.9791
2016,0,D02,Other technical assistance,33120,331,Production Services,86.9307,86.9307
2016,LMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,86.91,86.91
2016,0,D02,Other technical assistance,31182,311,Production Services,86.8373,86.8373
2016,0,C01,Project-type interventions,15220,152,Government and Civil Society,86.816,86.816
2016,0,B04,Basket funds/pooled funding,12182,121,Health,86.8,86.8
2016,UMICs,C01,Project-type interventions,12110,121,Health,86.7689,86.7689
2016,LMICs,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,86.6485,86.6485
2016,LMICs,D02,Other technical assistance,12182,121,Health,86.6158,86.6158
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,86.6085,86.6085
2016,UMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,86.5886,86.5886
2016,LDCs,C01,Project-type interventions,15130,151,Government and Civil Society,86.431,86.431
2016,0,C01,Project-type interventions,15220,152,Government and Civil Society,86.379,86.379
2016,UMICs,C01,Project-type interventions,43082,430,Multisector,86.3494,86.3494
2016,LDCs,D02,Other technical assistance,15160,151,Government and Civil Society,86.3374,86.3374
2016,UMICs,D02,Other technical assistance,12240,122,Health,86.2537,86.2537
2016,UMICs,C01,Project-type interventions,32210,322,Production Services,86.1819,86.1819
2016,0,C01,Project-type interventions,15130,151,Government and Civil Society,86.1723,86.1723
2016,LDCs,C01,Project-type interventions,12110,121,Health,86.153,86.153
2016,LDCs,C01,Project-type interventions,11182,111,Education,86.08,86.08
2016,LDCs,C01,Project-type interventions,11330,113,Education,86.0293,86.0293
2016,UMICs,C01,Project-type interventions,43081,430,Multisector,85.922,85.922
2016,LDCs,C01,Project-type interventions,15130,151,Government and Civil Society,85.9013,85.9013
2016,LMICs,C01,Project-type interventions,33110,331,Production Services,85.9,85.9
2016,LMICs,C01,Project-type interventions,41010,410,Multisector,85.9,85.9
2016,LMICs,C01,Project-type interventions,43030,430,Multisector,85.8898,85.8898
2016,UMICs,C01,Project-type interventions,32110,321,Production Services,85.795,85.795
2016,UMICs,C01,Project-type interventions,41082,410,Multisector,85.7887,85.7887
2016,Other LICs,C01,Project-type interventions,15151,151,Government and Civil Society,85.7837,85.7837
2016,UMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,85.7345,85.7345
2016,LDCs,C01,Project-type interventions,12110,121,Health,85.685,85.685
2016,0,C01,Project-type interventions,41030,410,Multisector,85.6818,85.6818
2016,LMICs,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,85.675,85.675
2016,UMICs,C01,Project-type interventions,11110,111,Education,85.5512,85.5512
2016,UMICs,C01,Project-type interventions,15130,151,Government and Civil Society,85.5,85.5
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15170,151,Government and Civil Society,85.4632,85.4632
2016,UMICs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,85.401,85.401
2016,UMICs,D02,Other technical assistance,41081,410,Multisector,85.3631,85.3631
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,85.2376,85.2376
2016,UMICs,C01,Project-type interventions,15110,151,Government and Civil Society,85.1867,85.1867
2016,Other LICs,C01,Project-type interventions,43082,430,Multisector,85.178,85.178
2016,LDCs,C01,Project-type interventions,11120,111,Education,85.17,85.17
2016,LMICs,D02,Other technical assistance,12220,122,Health,85.1023,85.1023
2016,LDCs,C01,Project-type interventions,52010,520,Commodity and General Programme Assistance,85.0184,85.0184
2016,0,C01,Project-type interventions,43082,430,Multisector,85,85
2016,UMICs,D02,Other technical assistance,43081,430,Multisector,84.947,84.947
2016,LMICs,C01,Project-type interventions,15170,151,Government and Civil Society,84.817,84.817
2016,Other LICs,C01,Project-type interventions,13020,130,Health,84.6462,84.6462
2016,UMICs,C01,Project-type interventions,15110,151,Government and Civil Society,84.5575,84.5575
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,84.5573,84.5573
2016,0,D02,Other technical assistance,12250,122,Health,84.3829,84.3829
2016,LDCs,C01,Project-type interventions,15180,151,Government and Civil Society,84.376,84.376
2016,UMICs,C01,Project-type interventions,23210,232,Economic Infrastructure & Services,84.291,84.291
2016,LMICs,D02,Other technical assistance,25010,250,Economic Infrastructure & Services,84.2725,84.2725
2016,LMICs,C01,Project-type interventions,24030,240,Economic Infrastructure & Services,84.2721,84.2721
2016,0,C01,Project-type interventions,43082,430,Multisector,84.1589,84.1589
2016,UMICs,C01,Project-type interventions,15150,151,Government and Civil Society,84.1465,84.1465
2016,LDCs,C01,Project-type interventions,43010,430,Multisector,84.0566,84.0566
2016,0,C01,Project-type interventions,12110,121,Health,84.0426,84.0426
2016,LMICs,C01,Project-type interventions,15160,151,Government and Civil Society,83.926,83.926
2016,LDCs,C01,Project-type interventions,15113,151,Government and Civil Society,83.8987,83.8987
2016,LMICs,C01,Project-type interventions,33130,331,Production Services,83.8879,83.8879
2016,UMICs,C01,Project-type interventions,15110,151,Government and Civil Society,83.7262,83.7262
2016,UMICs,D01,Donor country personnel,15220,152,Government and Civil Society,83.6937,83.6937
2016,Other LICs,C01,Project-type interventions,41030,410,Multisector,83.667,83.667
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,83.414,83.414
2016,LDCs,C01,Project-type interventions,41010,410,Multisector,83.4034,83.4034
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,83.333,83.333
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,83.333,83.333
2016,LDCs,C01,Project-type interventions,15112,151,Government and Civil Society,83.167,83.167
2016,0,D02,Other technical assistance,43082,430,Multisector,83.156,83.156
2016,LDCs,C01,Project-type interventions,15110,151,Government and Civil Society,83.048,83.048
2016,UMICs,C01,Project-type interventions,16061,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,82.8978,82.8978
2016,LDCs,C01,Project-type interventions,31120,311,Production Services,82.8668,82.8668
2016,0,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,82.7635,82.7635
2016,LDCs,E01,Scholarships/training in donor country,11420,114,Education,82.5702,82.5702
2016,LDCs,C01,Project-type interventions,11220,112,Education,82.5,82.5
2016,LDCs,C01,Project-type interventions,15160,151,Government and Civil Society,82.475,82.475
2016,0,C01,Project-type interventions,41030,410,Multisector,82.449,82.449
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,82.4025,82.4025
2016,LMICs,C01,Project-type interventions,33120,331,Production Services,82.344,82.344
2016,LMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,82.259,82.259
2016,UMICs,C01,Project-type interventions,43030,430,Multisector,82.1486,82.1486
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,82.061,82.061
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,82.023,82.023
2016,LDCs,C01,Project-type interventions,43010,430,Multisector,82.0052,82.0052
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,81.8011,81.8011
2016,UMICs,D02,Other technical assistance,43082,430,Multisector,81.768,81.768
2016,LMICs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,81.7529,81.7529
2016,0,D02,Other technical assistance,12250,122,Health,81.7501,81.7501
2016,0,C01,Project-type interventions,11110,111,Education,81.7069,81.7069
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,81.505,81.505
2016,0,D02,Other technical assistance,12262,122,Health,81.3715,81.3715
2016,0,C01,Project-type interventions,74010,740,Humantarian,81.3269,81.3269
2016,LDCs,C01,Project-type interventions,15110,151,Government and Civil Society,81.32,81.32
2016,UMICs,C01,Project-type interventions,43030,430,Multisector,81.2778,81.2778
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,81.2288,81.2288
2016,0,C01,Project-type interventions,15110,151,Government and Civil Society,81.0428,81.0428
2016,0,C01,Project-type interventions,15170,151,Government and Civil Society,81,81
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,80.9903,80.9903
2016,UMICs,C01,Project-type interventions,43030,430,Multisector,80.9327,80.9327
2016,UMICs,C01,Project-type interventions,11110,111,Education,80.9173,80.9173
2016,LMICs,C01,Project-type interventions,43082,430,Multisector,80.8139,80.8139
2016,LDCs,C01,Project-type interventions,15113,151,Government and Civil Society,80.803,80.803
2016,0,C01,Project-type interventions,43030,430,Multisector,80.7461,80.7461
2016,UMICs,C01,Project-type interventions,15180,151,Government and Civil Society,80.6544,80.6544
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,80.605,80.605
2016,UMICs,C01,Project-type interventions,23210,232,Economic Infrastructure & Services,80.5844,80.5844
2016,UMICs,C01,Project-type interventions,15113,151,Government and Civil Society,80.5537,80.5537
2016,Other LICs,C01,Project-type interventions,11182,111,Education,80.2678,80.2678
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,80.26,80.26
2016,LMICs,C01,Project-type interventions,43030,430,Multisector,80.1247,80.1247
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,80.015,80.015
2016,0,C01,Project-type interventions,15130,151,Government and Civil Society,80,80
2016,UMICs,C01,Project-type interventions,15150,151,Government and Civil Society,80,80
2016,LMICs,C01,Project-type interventions,32167,321,Production Services,80,80
2016,UMICs,C01,Project-type interventions,15130,151,Government and Civil Society,80,80
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,80,80
2016,LMICs,C01,Project-type interventions,33120,331,Production Services,80,80
2016,LMICs,C01,Project-type interventions,43030,430,Multisector,79.998,79.998
2016,0,C01,Project-type interventions,15130,151,Government and Civil Society,79.9461,79.9461
2016,LDCs,C01,Project-type interventions,15160,151,Government and Civil Society,79.91,79.91
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,79.7955,79.7955
2016,LMICs,D02,Other technical assistance,25010,250,Economic Infrastructure & Services,79.57,79.57
2016,0,C01,Project-type interventions,32167,321,Production Services,79.3873,79.3873
2016,LMICs,C01,Project-type interventions,15130,151,Government and Civil Society,79.3838,79.3838
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,79.329,79.329
2016,LMICs,C01,Project-type interventions,43030,430,Multisector,79.325,79.325
2016,LDCs,C01,Project-type interventions,11230,112,Education,79.2638,79.2638
2016,UMICs,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,79.2264,79.2264
2016,0,D02,Other technical assistance,11110,111,Education,79.1785,79.1785
2016,0,C01,Project-type interventions,23630,236,Economic Infrastructure & Services,79.1612,79.1612
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,79.118,79.118
2016,UMICs,G01,Administrative costs not included elsewhere,91010,910,Admin,78.9864,78.9864
2016,UMICs,C01,Project-type interventions,15150,151,Government and Civil Society,78.9718,78.9718
2016,0,C01,Project-type interventions,41082,410,Multisector,78.9652,78.9652
2016,UMICs,D01,Donor country personnel,15220,152,Government and Civil Society,78.945,78.945
2016,LDCs,C01,Project-type interventions,15180,151,Government and Civil Society,78.903,78.903
2016,Other LICs,D01,Donor country personnel,15130,151,Government and Civil Society,78.753,78.753
2016,LMICs,C01,Project-type interventions,23310,233,Economic Infrastructure & Services,78.6458,78.6458
2016,LDCs,C01,Project-type interventions,72050,720,Humantarian,78.541,78.541
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,78.532,78.532
2016,0,C01,Project-type interventions,43010,430,Multisector,78.4683,78.4683
2016,UMICs,C01,Project-type interventions,11110,111,Education,78.3763,78.3763
2016,UMICs,C01,Project-type interventions,23182,231,Economic Infrastructure & Services,78.1374,78.1374
2016,0,C01,Project-type interventions,31182,311,Production Services,78.08,78.08
2016,0,D02,Other technical assistance,12263,122,Health,77.9597,77.9597
2016,UMICs,C01,Project-type interventions,12110,121,Health,77.9012,77.9012
2016,LDCs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,77.8999,77.8999
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,77.6358,77.6358
2016,LDCs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,77.5048,77.5048
2016,LMICs,C01,Project-type interventions,41030,410,Multisector,77.4468,77.4468
2016,UMICs,C01,Project-type interventions,15240,152,Government and Civil Society,77.3708,77.3708
2016,UMICs,C01,Project-type interventions,41030,410,Multisector,77.3523,77.3523
2016,0,C01,Project-type interventions,43082,430,Multisector,77.2876,77.2876
2016,UMICs,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,77.1203,77.1203
2016,0,C01,Project-type interventions,15113,151,Government and Civil Society,77.0371,77.0371
2016,0,C01,Project-type interventions,15170,151,Government and Civil Society,77.0329,77.0329
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,76.9953,76.9953
2016,LDCs,C01,Project-type interventions,43082,430,Multisector,76.953,76.953
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,76.893,76.893
2016,0,C01,Project-type interventions,24030,240,Economic Infrastructure & Services,76.8775,76.8775
2016,0,C01,Project-type interventions,41030,410,Multisector,76.8675,76.8675
2016,0,C01,Project-type interventions,41030,410,Multisector,76.8661,76.8661
2016,Other LICs,C01,Project-type interventions,41010,410,Multisector,76.793,76.793
2016,UMICs,C01,Project-type interventions,21010,210,Economic Infrastructure & Services,76.7774,76.7774
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,76.7408,76.7408
2016,UMICs,C01,Project-type interventions,12110,121,Health,76.7405,76.7405
2016,LDCs,C01,Project-type interventions,15151,151,Government and Civil Society,76.6909,76.6909
2016,0,C01,Project-type interventions,15110,151,Government and Civil Society,76.5911,76.5911
2016,LMICs,C01,Project-type interventions,22010,220,Economic Infrastructure & Services,76.5,76.5
2016,UMICs,C01,Project-type interventions,43030,430,Multisector,76.4855,76.4855
2016,UMICs,D02,Other technical assistance,43081,430,Multisector,76.382,76.382
2016,LDCs,C01,Project-type interventions,11320,113,Education,76.2067,76.2067
2016,0,C01,Project-type interventions,74010,740,Humantarian,76.1551,76.1551
2016,0,C01,Project-type interventions,43082,430,Multisector,76.1484,76.1484
2016,0,C01,Project-type interventions,15130,151,Government and Civil Society,76.111,76.111
2016,0,C01,Project-type interventions,15170,151,Government and Civil Society,76.034,76.034
2016,0,C01,Project-type interventions,33130,331,Production Services,76.0209,76.0209
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,75.999,75.999
2016,UMICs,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,75.9579,75.9579
2016,LDCs,C01,Project-type interventions,15110,151,Government and Civil Society,75.9445,75.9445
2016,0,C01,Project-type interventions,15180,151,Government and Civil Society,75.8697,75.8697
2016,UMICs,C01,Project-type interventions,41030,410,Multisector,75.8653,75.8653
2016,LMICs,C01,Project-type interventions,41082,410,Multisector,75.8609,75.8609
2016,LDCs,D02,Other technical assistance,15130,151,Government and Civil Society,75.8374,75.8374
2016,UMICs,C01,Project-type interventions,15210,152,Government and Civil Society,75.7209,75.7209
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,75.7042,75.7042
2016,LDCs,C01,Project-type interventions,43082,430,Multisector,75.6857,75.6857
2016,Other LICs,C01,Project-type interventions,15130,151,Government and Civil Society,75.6832,75.6832
2016,LDCs,D02,Other technical assistance,12262,122,Health,75.6407,75.6407
2016,0,C01,Project-type interventions,15150,151,Government and Civil Society,75.522,75.522
2016,LDCs,C01,Project-type interventions,15110,151,Government and Civil Society,75.4426,75.4426
2016,UMICs,C01,Project-type interventions,15150,151,Government and Civil Society,75.301,75.301
2016,LMICs,C01,Project-type interventions,41010,410,Multisector,75.2873,75.2873
2016,LDCs,C01,Project-type interventions,11220,112,Education,75.274,75.274
2016,0,C01,Project-type interventions,43082,430,Multisector,75.2534,75.2534
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,75.215,75.215
2016,0,C01,Project-type interventions,72010,720,Humantarian,75.105,75.105
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15111,151,Government and Civil Society,75.1008,75.1008
2016,UMICs,C01,Project-type interventions,41030,410,Multisector,75.0983,75.0983
2016,0,C01,Project-type interventions,12110,121,Health,75.0467,75.0467
2016,UMICs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,75.0294,75.0294
2016,LMICs,C01,Project-type interventions,15111,151,Government and Civil Society,75.0084,75.0084
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15210,152,Government and Civil Society,75,75
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,75,75
2016,0,C01,Project-type interventions,43010,430,Multisector,75,75
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15170,151,Government and Civil Society,75,75
2016,UMICs,C01,Project-type interventions,15160,151,Government and Civil Society,75,75
2016,0,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,75,75
2016,UMICs,C01,Project-type interventions,43030,430,Multisector,74.994,74.994
2016,LDCs,C01,Project-type interventions,41030,410,Multisector,74.952,74.952
2016,UMICs,C01,Project-type interventions,31110,311,Production Services,74.9489,74.9489
2016,LDCs,C01,Project-type interventions,15220,152,Government and Civil Society,74.948,74.948
2016,Other LICs,C01,Project-type interventions,15111,151,Government and Civil Society,74.8781,74.8781
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,74.876,74.876
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,74.8511,74.8511
2016,LDCs,D02,Other technical assistance,43040,430,Multisector,74.7048,74.7048
2016,UMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,74.6727,74.6727
2016,UMICs,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,74.574,74.574
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",41030,410,Multisector,74.5302,74.5302
2016,0,C01,Project-type interventions,41082,410,Multisector,74.5166,74.5166
2016,LMICs,C01,Project-type interventions,16063,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,74.5,74.5
2016,0,C01,Project-type interventions,24030,240,Economic Infrastructure & Services,74.4657,74.4657
2016,UMICs,C01,Project-type interventions,22010,220,Economic Infrastructure & Services,74.0714,74.0714
2016,LMICs,D02,Other technical assistance,12250,122,Health,74.0712,74.0712
2016,LDCs,C01,Project-type interventions,31110,311,Production Services,74.0259,74.0259
2016,0,C01,Project-type interventions,32130,321,Production Services,74.0146,74.0146
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,74.0102,74.0102
2016,UMICs,D02,Other technical assistance,43082,430,Multisector,74,74
2016,UMICs,D02,Other technical assistance,43081,430,Multisector,74,74
2016,UMICs,D02,Other technical assistance,43082,430,Multisector,74,74
2016,0,C01,Project-type interventions,43082,430,Multisector,73.95,73.95
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72050,720,Humantarian,73.919,73.919
2016,UMICs,C01,Project-type interventions,15110,151,Government and Civil Society,73.8817,73.8817
2016,Other LICs,D02,Other technical assistance,21020,210,Economic Infrastructure & Services,73.8383,73.8383
2016,UMICs,C01,Project-type interventions,24030,240,Economic Infrastructure & Services,73.7896,73.7896
2016,0,D02,Other technical assistance,31110,311,Production Services,73.7264,73.7264
2016,LDCs,C01,Project-type interventions,15110,151,Government and Civil Society,73.665,73.665
2016,UMICs,C01,Project-type interventions,13020,130,Health,73.6071,73.6071
2016,0,C01,Project-type interventions,41081,410,Multisector,73.35,73.35
2016,0,B04,Basket funds/pooled funding,15220,152,Government and Civil Society,73.294,73.294
2016,UMICs,C01,Project-type interventions,23210,232,Economic Infrastructure & Services,73.2828,73.2828
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,73.2414,73.2414
2016,LMICs,C01,Project-type interventions,22040,220,Economic Infrastructure & Services,73.2146,73.2146
2016,UMICs,C01,Project-type interventions,41010,410,Multisector,73.069,73.069
2016,UMICs,D02,Other technical assistance,43082,430,Multisector,73,73
2016,LMICs,D02,Other technical assistance,43081,430,Multisector,72.876,72.876
2016,LDCs,D02,Other technical assistance,12240,122,Health,72.778,72.778
2016,0,C01,Project-type interventions,31130,311,Production Services,72.7771,72.7771
2016,UMICs,C01,Project-type interventions,12110,121,Health,72.7588,72.7588
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,72.7468,72.7468
